1.,aaa
色素,agr
脱失,ags
鼻上象限,agt
颞侧,agu
上下,agv
动静脉,agw
小斑,agx
远,agy
边界,agz
不清,aha
动脉,ahb
较细,ahc
迂曲,ahd
至,ahe
中周部,ahf
数片,ahg
前方,ahh
大片,ahi
CRVO,ahj
较,ahk
或成,ahl
簇,ahm
的,ahn
灶性,aho
血管扩张,ahp
点状出血,ahq
遮蔽,ahr
以及,ahs
灌注区,aht
IRMA,ahu
征象,ahv
非,ahw
增殖,ahx
型,ahy
重度,ahz
大体,aia
玻璃体,aib
条索,aic
鼻上,aid
清楚的,aie
视网膜萎缩,aif
纤维,aig
膜,aih
广泛的,aii
6,aij
眼底,aik
血管造影,ail
过程,aim
随,ain
背景,aio
改变,aip
而,aiq
形态,air
大小,ais
保持不变,ait
下半视网膜,aiu
幕状,aiv
脉络膜萎缩,aiw
多个,aix
见,aiy
条斑,aiz
变性,aja
走行,ajb
僵直,ajc
末端,ajd
纠集,aje
伴微,ajf
着,ajg
染,ajh
FEVRos,aji
节段性,ajj
中心,ajk
偏,ajl
中心凹,ajm
下的,ajn
直径约,ajo
1,ajp
/,ajq
3PD,ajr
典型性,ajs
CNVos,ajt
弧形,aju
灶,ajv
点,ajw
线状,ajx
漆样,ajy
裂纹,ajz
性,aka
CNV,akb
病理,akc
近视,akd
病变,ake
紊乱,akf
中后期,akg
线条状,akh
漆,aki
后,akj
极至,akk
密集,akl
高度近视,akm
隐匿性,akn
广泛性,ako
沉积物,akp
近中,akq
周,akr
为主,aks
残留,akt
光凝,aku
术后,akv
开始,akw
于,akx
微血管,aky
时间延长,akz
渐有,ala
糖尿病,alb
斑点状,alc
簇状,ald
减弱,ale
末梢,alf
局灶,alg
前,alh
积血,ali
第三,alj
漂浮,alk
玻璃体腔,all
其,alm
融合的,aln
陈旧,alo
激光,alp
全程,alq
偏下,alr
端的,als
静脉扩张,alt
其属区,alu
火焰状,alv
出血,alw
明显的,alx
多处,aly
轻,alz
半,ama
局限性,amb
可,amc
透见,amd
血管网,ame
中晚期,amf
不明显,amg
PCVod,amh
视网膜色素,ami
上皮,amj
组织,amk
各期,aml
4,amm
2PD,amn
稍弱,amo
弧,amp
数,amq
OCT,amr
检查,ams
走,amt
行弯曲,amu
视网膜中央静脉,amv
阻塞,amw
膜形成,amx
管径,amy
粗细,amz
不均,ana
上支,anb
所属,anc
鼻侧视网膜,and
血管闭塞,ane
行径,anf
结构破坏,ang
BRVO,anh
显影,ani
强,anj
扭曲,ank
先天,anl
侧近,anm
小灶,ann
数个,ano
针尖,anp
样高,anq
融合,anr
湖状,ans
弱,ant
神经上皮,anu
VKH,anv
环形,anw
屈光间,anx
质不清,any
前膜,anz
间杂,aoa
条状,aob
性弱,aoc
4PD,aod
类,aoe
圆形,aof
出血性,aog
约,aoh
2,aoi
处,aoj
显著,aok
上分支,aol
近端,aom
数处,aon
<,aoo
1PD,aop
状无,aoq
BRVOod,aor
中于,aos
阻挡,aot
位置,aou
不恒定,aov
未见异常,aow
质,aox
混浊,aoy
血管膜,aoz
视网膜水肿,apa
斑点,apb
结构变形,apc
原因,apd
待查,ape
在,apf
测试,apg
息肉状,aph
灶伴,api
圆形的,apj
小片,apk
玻璃,apl
PCVos,apm
近,apn
血管芽,apo
周为,app
PDRos,apq
其内,apr
可透见,aps
轻微,apt
中间,apu
葡萄膜炎,apv
局灶性,apw
萎缩灶,apx
及其,apy
上缘,apz
增强,aqa
CSCod,aqb
网点,aqc
杯盘,aqd
比,aqe
充盈缺损,aqf
充盈,aqg
纤细,aqh
部为,aqi
椒盐,aqj
样,aqk
团,aql
絮状混浊,aqm
端斑状,aqn
走形,aqo
上半,aqp
变小,aqq
ICGAos,aqr
包括,aqs
网状,aqt
变形,aqu
数团,aqv
PDR,aqw
多灶性,aqx
条带状,aqy
渐,aqz
出现,ara
增多,arb
活动性,arc
PCV,ard
区内,are
甚伴,arf
侧支循环,arg
部斑状,arh
半侧,ari
RVOos,arj
青光眼,ark
少量,arl
期渐,arm
花瓣样,arn
Behcet,aro
病,arp
相对性,arq
上半视网膜,arr
即见,ars
沙漏,art
下强,aru
内部,arv
上端,arw
显露,arx
脉络膜炎,ary
平直,arz
近视眼,asa
底,asb
增生,asc
其中,asd
处见,ase
团状,asf
迅速,asg
素,ash
模糊,asi
可辨,asj
Coats,ask
外,asl
CNVod,asm
隐约,asn
轻微的,aso
ICNVod,asp
块状,asq
后极,asr
远端,ass
下缘,ast
侧缘,asu
破坏,asv
周灶性,asw
所在,asx
中度,asy
增殖期,asz
状高,ata
急性,atb
坏死,atc
恢复期,atd
渐见,ate
*,atf
5PD,atg
范围,ath
强弱,ati
瘢痕,atj
残存,atk
交叉压迫,atl
现象,atm
交通支,atn
引流,ato
区见,atp
大,atq
部低,atr
区较,ats
一小,att
部多,atu
吲哚,atv
青绿,atw
ICG,atx
中期,aty
一直,atz
持续,aua
到,aub
息肉,auc
脱离区,aud
及微,aue
部见,auf
斑渐,aug
毛细血管通透性,auh
见到,aui
部可,auj
有所,auk
余,aul
及条,aum
索状,aun
不变,auo
花瓣,aup
变化,auq
见数,aur
团样,aus
不清楚,aut
弯曲,auu
无血管区,auv
壁有,auw
吲哚菁绿,aux
处渐,auy
荧光增强,auz
处小,ava
可疑,avb
普遍,avc
血管炎,avd
外至,ave
骨细胞,avf
原发性视网膜色素变性,avg
数斑,avh
符合,avi
下半部,avj
看不清,avk
炎,avl
AMD,avm
dry,avn
期间,avo
其间,avp
夹杂,avq
性强,avr
诊断,avs
CME,avt
疣样,avu
PED,avv
疣性,avw
远中,avx
周斑,avy
状点,avz
簇样,awa
聚焦,awb
不良,awc
爬行,awd
其上,awe
瘤样,awf
内在,awg
MRI,awh
超声,awi
不规则的,awj
血管性,awk
周局,awl
鼻下象限,awm
极,awn
絮状,awo
纵向的,awp
条形,awq
静止,awr
ICGAod,aws
样强,awt
湖样,awu
清,awv
浆液性,aww
诊,awx
专科,awy
带状,awz
状透见,axa
与,axb
荧光强度,axc
更强,axd
局灶类,axe
A,axf
-,axg
RCT,axh
=,axi
18.34,axj
s,axk
尚,axl
伴轻,axm
棉绒,axn
高血压性视网膜病变,axo
旁,axp
小团,axq
数小颗,axr
斑状强,axs
消退,axt
BVN,axu
注意,axv
随访,axw
双眼,axx
缺,axy
朦胧,axz
绕以,aya
对称性,ayb
ou,ayc
一,ayd
直径,aye
其近,ayf
缘,ayg
缺乏,ayh
状强,ayi
区域性,ayj
局部异常,ayk
吻合,ayl
累及,aym
陈旧的,ayn
视网膜黄斑,ayo
小分支,ayp
发散,ayq
三个,ayr
欠,ays
均匀,ayt
综合征,ayu
屈光介质,ayv
中至,ayw
膨大,ayx
并,ayy
向,ayz
下长入,aza
血管吻合,azb
渗出,azc
灶渐,azd
冲刷,aze
围绕,azf
丛状,azg
散在的,azh
PDRod,azi
及其下,azj
缘斑,azk
环,azl
本身,azm
单纯性,azn
进一步,azo
明确,azp
情况,azq
及局,azr
清晰,azs
萎缩性,azt
回流,azu
周及,azv
周边的,azw
欠清,azx
CRVOod,azy
部灶性,azz
黄斑中心凹,baa
下斜,bab
行,bac
哑铃,bad
上和,bae
圆斑状,baf
视网膜变性,bag
不规则,bah
7,bai
非典型,baj
外观,bak
呈强,bal
尚清,bam
CMEos,ban
偏小,bao
隆起,bap
前及,baq
视神经视网膜炎,bar
疣样的,bas
外周,bat
NPDR,bau
黄白色,bav
网,baw
弥漫的,bax
亦,bay
可以,baz
DRou,bba
血管充盈,bbb
基本,bbc
云雾,bbd
孔源性,bbe
略,bbf
多局,bbg
斑状弱,bbh
从,bbi
鼻下的,bbj
清晰的,bbk
小圆点,bbl
状低,bbm
先天性,bbn
黄斑缺损,bbo
脱色素,bbp
多片状,bbq
视网膜点,bbr
出血点,bbs
弥漫,bbt
16s,bbu
吻合支,bbv
连其,bbw
出,bbx
所致,bby
弥散性,bbz
多灶,bca
整个,bcb
黄斑部,bcc
缺血性,bcd
视神经,bce
其下,bcf
巩膜,bcg
仍强,bch
伴近,bci
多发性,bcj
微动脉瘤,bck
性高,bcl
内见,bcm
稀疏,bcn
DME,bco
补充光,bcp
凝,bcq
簇状强,bcr
均,bcs
ICGICG,bct
硬性,bcu
渗出性,bcv
OS,bcw
全,bcx
少许,bcy
苔藓,bcz
见于,bda
斑样,bdb
"""",bdc
双轨,bdd
征,bde
稍强,bdf
杯,bdg
一点,bdh
墨渍,bdi
蛇行,bdj
受累,bdk
星状,bdl
延迟,bdm
仅,bdn
属支,bdo
伴其属,bdp
浅层,bdq
混浊性,bdr
聚集,bds
伴有,bdt
见类,bdu
三角形,bdv
条,bdw
索性,bdx
前条,bdy
纤维膜,bdz
性低,bea
牵拉,beb
见成,bec
斑外,bed
羽毛状,bee
有髓神经纤维,bef
见点,beg
圆点,beh
缘见,bei
PEDos,bej
破碎,bek
状弱,bel
延长部分,bem
仍弱,ben
伴其下,beo
方舟,bep
下弱,beq
伴弱,ber
线状萎缩,bes
无渗漏,bet
见局,beu
特别是,bev
周除,bew
区域边界,bex
不,bey
伴局,bez
带状排列,bfa
RPos,bfb
富,bfc
占位,bfd
绕,bfe
孤立,bff
脉络膜血管瘤,bfg
玻璃体出血,bfh
斑驳的,bfi
拱,bfj
环缩小,bfk
周点,bfl
部局,bfm
周部,bfn
伴其,bfo
周弧,bfp
窄,bfq
延长,bfr
襻,bfs
黄色斑点,bft
症,bfu
彩照,bfv
其鼻,bfw
大范围,bfx
不明,bfy
来源,bfz
皮质,bga
可能性,bgb
周小,bgc
锯齿缘,bgd
后方,bge
半球状,bgf
一支,bgg
正常的,bgh
滋养,bgi
均质,bgj
清楚,bgk
方向,bgl
拖曳,bgm
伸直,bgn
不清的,bgo
伴小,bgp
FEVRod,bgq
小簇,bgr
泡状,bgs
除外,bgt
晶体,bgu
周小簇,bgv
Eales,bgw
睫状体,bgx
平坦,bgy
部的,bgz
高度,bha
隆起的,bhb
双循环,bhc
啊,bhd
脉络膜黑色素瘤,bhe
小圆,bhf
伴点,bhg
颞测,bhh
两个,bhi
大少,bhj
不一,bhk
相连,bhl
半球,bhm
丰富,bhn
色素沉着,bho
肿瘤,bhp
会诊,bhq
平滑肌瘤,bhr
伴属,bhs
属区,bht
局限性水肿,bhu
影响,bhv
成像质量,bhw
焦点,bhx
呈弱,bhy
一类,bhz
相对,bia
荧光素染料,bib
葡萄串,bic
附近,bid
炎性,bie
一团,bif
偏弱,big
周小团,bih
RPod,bii
致密,bij
排除,bik
全身感染,bil
因素,bim
周斑状,bin
斑较,bio
斑块,bip
隐见,biq
影,bir
IRMAos,bis
偏鼻上,bit
确切,biu
慢性,biv
CSCos,biw
未,bix
半月形,biy
放射状,biz
成,bja
凹陷,bjb
增大,bjc
提示,bjd
可能,bje
不在,bjf
同一,bjg
平面,bjh
着色,bji
盘周,bjj
异位,bjk
继发性,bjl
移位,bjm
IGA,bjn
结节,bjo
见弱,bjp
环绕,bjq
稍直,bjr
黄斑裂孔,bjs
劈裂,bjt
等,bju
串珠,bjv
尤,bjw
以下,bjx
方及,bjy
著,bjz
蛇形,bka
各种,bkb
DMEos,bkc
余未见,bkd
DRos,bke
囊,bkf
带样,bkg
湿性,bkh
老年,bki
黄斑变性,bkj
右,bkk
眼脉络膜,bkl
缺损,bkm
一下,bkn
全过程,bko
前锋,bkp
其属,bkq
大小不等,bkr
小点,bks
略大于,bkt
成簇,bku
照相,bkv
图片,bkw
两,bkx
一片,bky
或,bkz
浆的,bla
良好,blb
全周,blc
颗粒状,bld
斑性,ble
激光治疗,blf
随后,blg
原田,blh
荧光点,bli
OD,blj
视杯,blk
RP,bll
孤立的,blm
痣,bln
处及,blo
治疗,blp
下端,blq
端,blr
灶处,bls
以,blt
缓慢,blu
前移,blv
部及,blw
主干,blx
较大,bly
FAZ,blz
两处,bma
成片的,bmb
融合成,bmc
带状的,bmd
结晶,bme
条纹状,bmf
细胞内,bmg
旁及,bmh
始终,bmi
沿,bmj
荧,bmk
颞尚,bml
脉络膜视网膜萎缩,bmm
病理性,bmn
形,bmo
但,bmp
其他,bmq
部位,bmr
5,bms
周成,bmt
多点,bmu
和局,bmv
动脉硬化,bmw
中线,bmx
轮廓,bmy
短线,bmz
减退,bna
弥散,bnb
部斑,bnc
色素斑点,bnd
沉着,bne
斜入,bnf
后巩膜葡萄肿,bng
倒三角形,bnh
透见性,bni
毛刷,bnj
稀疏的,bnk
区及,bnl
下支,bnm
侧盘,bnn
相应,bno
周约,bnp
消失,bnq
瞳孔区,bnr
侧局,bns
处局,bnt
颞下点,bnu
静脉的,bnv
沙硕样,bnw
晶状体混浊,bnx
成像,bny
局部隆起,bnz
部分融合,boa
迁移,bob
蘑菇状,boc
表现,bod
中心的,boe
扩张部分,bof
影子,bog
两片,boh
性质,boi
呈环形,boj
排列的,bok
单个,bol
较大的,bom
Fuchs,bon
旁有,boo
髓鞘,bop
神经纤维,boq
仍,bor
保持,bos
形态发育,bot
互相,bou
DMEod,bov
AIONos,bow
隐约可见,box
片,boy
高强,boz
见条,bpa
偏低,bpb
因故,bpc
刚,bpd
交叉处,bpe
逐渐增强,bpf
小条,bpg
化,bph
程度,bpi
不同的,bpj
前期,bpk
小支,bpl
睫状,bpm
中央动脉,bpn
并且,bpo
较少,bpp
除鼻上,bpq
睫状视网膜动脉,bpr
视网膜中央动脉,bps
再通,bpt
一根,bpu
通过,bpv
炊烟,bpw
×,bpx
微弱,bpy
晕,bpz
脂质,bqa
部类,bqb
仍见,bqc
方,bqd
IRMAod,bqe
偏鼻,bqf
团块,bqg
中小,bqh
墨迹,bqi
弥散点,bqj
簇透见,bqk
BVNod,bql
变细,bqm
V,bqn
微低,bqo
17s,bqp
侧枝循环,bqq
镰状,bqr
增殖性,bqs
伴斑,bqt
盘状,bqu
稀少,bqv
早,bqw
斑见,bqx
岛样,bqy
出血灶,bqz
遮挡,bra
灰白色,brb
换班,brc
及点,brd
Dalen,bre
时间延迟,brf
高低,brg
视,brh
乳头,bri
较弱,brj
及数,brk
见斑,brl
之弱,brm
大团,brn
均匀染料,bro
10,brp
浅,brq
带,brr
皱襞,brs
位于,brt
侧视,bru
盘强,brv
及斑,brw
小线,brx
下边缘,bry
弧线,brz
缺失,bsa
wet,bsb
图像,bsc
细节,bsd
可见的,bse
所见,bsf
样低,bsg
放射,bsh
皱褶,bsi
VKHos,bsj
云,bsk
生理,bsl
暗斑,bsm
患儿,bsn
合作,bso
故,bsp
时期,bsq
无法,bsr
采集,bss
窥不清,bst
灶及,bsu
样透见,bsv
卵圆形,bsw
缺血,bsx
程度较,bsy
树枝状,bsz
清晰可见,bta
C,btb
D,btc
中心局,btd
条索样,bte
怒张,btf
II,btg
对焦,bth
层间,bti
部小,btj
所,btk
辖,btl
完整,btm
半略,btn
加深,bto
扇形,btp
形状,btq
FEVR,btr
一高,bts
余中,btt
存在,btu
旁渐,btv
片状组织,btw
大部分,btx
月牙,bty
浆液,btz
血液,bua
后葡萄肿,bub
尚可,buc
内出血,bud
视网膜脉络膜炎,bue
闭塞性,buf
继发性视网膜脱离,bug
旁小,buh
维持,bui
CRAO,buj
下至,buk
区局,bul
请注意,bum
病史,bun
外伤,buo
发作期,bup
中断,buq
动脉瘤,bur
竖,bus
椭圆形,but
数条,buu
RAPod,buv
终末,buw
逐渐,bux
晕染,buy
缩窄,buz
局灶成,bva
前见,bvb
环状,bvc
不太,bvd
部一,bve
Weiss,bvf
色素痣,bvg
伴壁染,bvh
不完全,bvi
合并,bvj
睫网,bvk
自发,bvl
可见一斑,bvm
内局,bvn
星空,bvo
影像,bvp
NPDRos,bvq
灶样,bvr
条带,bvs
几个,bvt
},bvu
盘缘,bvv
分辨,bvw
矢状,bvx
两点,bvy
成片,bvz
光凝斑,bwa
弧状弱,bwb
及远,bwc
尤为,bwd
伴高,bwe
新个生,bwf
不均匀,bwg
中段,bwh
部一灶性,bwi
或者,bwj
斑状出血,bwk
上类,bwl
灶缘,bwm
花冠,bwn
视神经萎缩,bwo
团簇状,bwp
对称的,bwq
缘至,bwr
毛糙的,bws
视网膜锥,bwt
杆,bwu
细胞,bwv
营养不良,bww
良性,bwx
三处,bwy
扇贝,bwz
中下,bxa
样条,bxb
失去,bxc
均质的,bxd
湮灭,bxe
Stargardt,bxf
象散,bxg
成斑,bxh
周三,bxi
小于,bxj
左侧,bxk
眼球震颤,bxl
中鼻上,bxm
不同,bxn
最,bxo
可疑的,bxp
两小,bxq
更,bxr
两强,bxs
两小团,bxt
典型,bxu
小团强,bxv
多多,bxw
不规则性,bxx
小动脉,bxy
小动脉瘤,bxz
处有,bya
簇瘤样,byb
RRA,byc
肥大,byd
脉络,bye
膜通透性,byf
中见,byg
弧形的,byh
显著的,byi
拟诊,byj
抗,byk
VEGF,byl
斑状点,bym
下方的,byn
少量的,byo
CRVOos,byp
窥见,byq
前舟,byr
斑和点,bys
OCTos,byt
PEDod,byu
圆,byv
簇状弱,byw
特点,byx
及大,byy
状微,byz
灶内,bza
环形的,bzb
勾勒,bzc
出约,bzd
显,bze
内未见,bzf
渐显,bzg
患者,bzh
造影检查,bzi
18.28,bzj
增强的,bzk
局灶弱,bzl
支,bzm
基底部,bzn
环状纤维,bzo
呈类,bzp
伴血管,bzq
小类,bzr
不伴,bzs
青排,bzt
左,bzu
点状的,bzv
水肿形成,bzw
末端分支,bzx
待排,bzy
看,bzz
循环时间,caa
界限,cab
染色的,cac
斑低,cad
中心点,cae
一囊,caf
袋样,cag
玻璃体膜,cah
期内,cai
网膜,caj
及及,cak
垂直的,cal
梭型,cam
弧透见,can
相连的,cao
PM,cap
分布的,caq
..,car
弧低,cas
0.8,cat
渗,cau
毛细,cav
CSC,caw
毛细血管瘤,cax
各个,cay
临近,caz
CMEod,cba
膜性,cbb
骨样,cbc
色素细胞,cbd
广泛分布,cbe
体积,cbf
血性,cbg
不佳,cbh
硅油,cbi
反光,cbj
周大,cbk
分布,cbl
各级,cbm
毛,cbn
干性,cbo
检查报告,cbp
两团,cbq
发育异常,cbr
稍低,cbs
视野检查,cbt
下半,cbu
上皮组织,cbv
类圆,cbw
见高低,cbx
呈现,cby
乳头水肿,cbz
不完整,cca
见片,ccb
检测,ccc
拍摄,ccd
周见,cce
迁延型,ccf
荧光性,ccg
界清,cch
视网膜色素变性,cci
亚型,ccj
视网,cck
瘢痕组织,ccl
均一,ccm
上周,ccn
部部局,cco
局多,ccp
新月形,ccq
内侧缘,ccr
各项,ccs
限,cct
稳定,ccu
状及,ccv
见略,ccw
外缘,ccx
马蹄形,ccy
连,ccz
一横,cda
字形,cdb
上极,cdc
高血压,cdd
受,cde
见多局,cdf
一局,cdg
囊袋样,cdh
尖端,cdi
朝向,cdj
血管丰富的,cdk
瘤体,cdl
瘤,cdm
体高,cdn
三角形的,cdo
颞下经,cdp
线状排列,cdq
大面积,cdr
形态异常,cds
4RVOos,cdt
细小的,cdu
三支,cdv
倾向,cdw
旁弱,cdx
长,cdy
竖条,cdz
形强,cea
坏,ceb
稍微,cec
内小,ced
结构完整,cee
中间部,cef
其周,ceg
轻轻,ceh
度,cei
中重度,cej
小囊,cek
乳斑,cel
束,cem
荧光的,cen
交界处,ceo
条强,cep
间,ceq
不能,cer
原发性,ces
部高,cet
PRE,ceu
内有,cev
血管分布,cew
因,cex
辨别,cey
瞳孔,cez
量,cfa
DRI,cfb
一条,cfc
在上,cfd
另,cfe
走入,cff
B超,cfg
后级部,cfh
水平,cfi
分界线,cfj
部稍,cfk
缘小,cfl
不定,cfm
灶的,cfn
确切的,cfo
呈瘤样,cfp
线装,cfq
余中周,cfr
大小不一,cfs
缘处,cft
大于,cfu
FAG,cfv
簇新,cfw
生,cfx
蜂窝状,cfy
严重,cfz
PRP,cga
具有,cgb
所示,cgc
一致的,cgd
螺旋状,cge
牛眼,cgf
进展期,cgg
蝶形,cgh
中央,cgi
牵牛花,cgj
新成,cgk
外余,cgl
血管壁,cgm
牵引,cgn
染灶,cgo
呈节,cgp
段,cgq
区的,cgr
格子,cgs
黑外,cgt
亮的,cgu
晕状,cgv
小叶,cgw
明显增加,cgx
F,cgy
周小段,cgz
弥散的,cha
规则的,chb
转呈,chc
曲折,chd
所在区域,che
无症状,chf
缘小簇,chg
PDRou,chh
眼,chi
软性,chj
方圆,chk
路,chl
皮萎缩,chm
填充,chn
宽度,cho
两小簇,chp
眼位,chq
上局,chr
CRAOod,chs
RVO,cht
微动脉,chu
粟粒状,chv
位置不变,chw
片样,chx
占位性,chy
黑瘤,chz
闭锁,cia
浓厚,cib
深层,cic
部未见,cid
扩张的,cie
强荧,cif
星芒状,cig
为重,cih
左炎,cii
家渗,cij
结果,cik
葡萄膜,cil
黄,cim
VH,cin
中心性,cio
脉络膜视网膜病,cip
变,ciq
相当于,cir
倍,cis
结构异常,cit
个,ciu
窗样,civ
形及,ciw
染伴,cix
FEVER,ciy
液平,ciz
小段,cja
不随,cjb
点样,cjc
性富,cjd
周略,cje
其所辖,cjf
湿,cjg
性型,cjh
同心圆,cji
PR,cjj
线,cjk
不足,cjl
梭形,cjm
消,cjn
褪,cjo
部灶,cjp
U,cjq
提前,cjr
终止,cjs
余下,cjt
状漆样,cju
伴其上,cjv
各见,cjw
13s,cjx
活动期,cjy
性前,cjz
下远,cka
上边界,ckb
炎症,ckc
二,ckd
三级,cke
5P,ckf
D盘,ckg
成分,ckh
渔网,cki
部见局,ckj
畸形,ckk
花蕊,ckl
扩展,ckm
外围,ckn
荧光带,cko
视神经炎,ckp
横向,ckq
细,ckr
细条纹,cks
即,ckt
6PD,cku
光凝后,ckv
索样,ckw
以后,ckx
一过性,cky
白点,ckz
嵴,cla
血光,clb
较直,clc
窥清,cld
伴较,cle
示,clf
可见区域,clg
对应,clh
弧高,cli
变为,clj
一地,clk
图样,cll
静脉炎,clm
动脉血,cln
管,clo
淋巴瘤,clp
内科,clq
蘑菇,clr
荧光染料,cls
小弧,clt
小孩,clu
配合,clv
欠佳,clw
边缘模糊,clx
有微,cly
也,clz
斑及,cma
模糊的,cmb
伴灶性,cmc
水平线,cmd
动静,cme
侧静脉,cmf
AIONod,cmg
模糊不清,cmh
大丛,cmi
内及,cmj
增殖性视网膜病,cmk
更为,cml
区于,cmm
尚未,cmn
鼻上点,cmo
11,cmp
秒,cmq
节段,cmr
前点,cms
似有,cmt
囊肿,cmu
外侧缘,cmv
0.7,cmw
退行,cmx
颞下局,cmy
1P,cmz
Y,cna
明细,cnb
更加,cnc
竖行,cnd
附件,cne
公安,cnf
集合,cng
迟滞,cnh
血管节,cni
僵硬,cnj
水渍,cnk
ERG,cnl
打,cnm
了,cnn
处见点,cno
延至,cnp
狭窄,cnq
现状,cnr
2s,cns
斑片样,cnt
应,cnu
数小,cnv
不排除,cnw
NPDRod,cnx
盘高,cny
囊带,cnz
阶段性,coa
见团,cob
25s,coc
弥漫性萎缩,cod
不典型,coe
完善,cof
电,cog
相关检查,coh
放射性,coi
损坏,coj
我,cok
塞,col
上半部,com
随诊,con
变直,coo
弓蛔虫病,cop
火焰,coq
臂,cor
16,cos
血管丛,cot
在后,cou
就,cov
旁漆,cow
点对应,cox
球状,coy
上次,coz
比较,cpa
下部,cpb
无伴,cpc
尤重,cpd
部处,cpe
脉络膜缺损,cpf
AION,cpg
强度,cph
弓,cpi
旁局,cpj
眼底检查,cpk
不配合,cpl
团簇,cpm
壁染伴,cpn
中央区,cpo
类型,cpp
分别,cpq
伴条,cpr
纹样,cps
积聚,cpt
腊肠,cpu
壁,cpv
Os,cpw
尤其,cpx
区未见,cpy
PIC,cpz
样样,cqa
弧性,cqb
眼球下转,cqc
变行,cqd
该处,cqe
疤痕,cqf
沟通,cqg
显弱,cqh
旁约,cqi
扩航,cqj
部小段,cqk
此外,cql
靠近,cqm
走出,cqn
31s,cqo
OCTod,cqp
轻度的,cqq
不等,cqr
与其,cqs
关注,cqt
较多斑,cqu
数颗,cqv
RPER,cqw
周较,cqx
下发,cqy
那个,cqz
内侧,cra
弥漫性的,crb
内类,crc
半为,crd
多的,cre
血案,crf
密集的,crg
处斑状,crh
减少,cri
最为,crj
显示,crk
视网膜内层,crl
变薄,crm
层,crn
低中,cro
反射信号,crp
全身性,crq
成串的,crr
短暂性,crs
外较,crt
可见水平,cru
多团,crv
粟粒样,crw
成人,crx
虫,cry
噬,crz
有斑,csa
ARNos,csb
17.34,csc
CRAOos,csd
期中,cse
毛细管扩张,csf
囊状,csg
散,csh
在线,csi
瘢痕期,csj
感染,csk
免疫,csl
发明,csm
暗条纹,csn
部较,cso
枪型,csp
总干样,csq
多条,csr
周多,css
横,cst
全程无,csu
机化,csv
连续,csw
三角形排列,csx
细小,csy
层间水,csz
肿,cta
渗出物,ctb
下局,ctc
排空,ctd
中仅,cte
炎后,ctf
脉络膜脱离,ctg
或小簇,cth
视野,cti
多焦,ctj
从盘,ctk
沿处,ctl
象限的,ctm
积液,ctn
查,cto
血糖,ctp
支及,ctq
此,ctr
捏,cts
余窥不清,ctt
中未见,ctu
黑斑,ctv
脉络膜肿瘤,ctw
转移,ctx
Ca,cty
区渐,ctz
一约,cua
中部,cub
灶微,cuc
伴小簇,cud
大量的,cue
条纹,cuf
伴斑状,cug
毛血,cuh
ERGou,cui
MEWDSod,cuj
三点,cuk
ARBod,cul
椭圆形的,cum
伴成,cun
形弱,cuo
发条,cup
油水界面,cuq
0s,cur
性透见,cus
类环,cut
球形,cuu
粗大的,cuv
交感性眼炎,cuw
期间中,cux
伴行静脉,cuy
血常规检查,cuz
片状玻璃,cva
