1.,aaa
色素,agr
脱失,ags
鼻上象限,agt
颞侧,agu
上下,agv
动静脉,agw
小斑,agx
远,agy
边界,agz
不清,aha
动脉,ahb
较细,ahc
迂曲,ahd
至,ahe
中周部,ahf
数片,ahg
前方,ahh
大片,ahi
CRVO,ahj
较,ahk
或成,ahl
簇,ahm
的,ahn
灶性,aho
血管扩张,ahp
点状出血,ahq
遮蔽,ahr
以及,ahs
灌注区,aht
IRMA,ahu
征象,ahv
非,ahw
增殖,ahx
型,ahy
重度,ahz
大体,aia
玻璃体,aib
条索,aic
鼻上,aid
清楚的,aie
视网膜萎缩,aif
纤维,aig
膜,aih
广泛的,aii
6.,aij
眼底,aik
血管造影,ail
过程,aim
随,ain
背景,aio
改变,aip
而,aiq
形态,air
大小,ais
保持不变,ait
下半视网膜,aiu
幕状,aiv
脉络膜萎缩,aiw
多个,aix
见,aiy
条斑,aiz
变性,aja
走行,ajb
僵直,ajc
末端,ajd
纠集,aje
伴微,ajf
着,ajg
染,ajh
FEVRos,aji
节段性,ajj
中心,ajk
偏,ajl
中心凹,ajm
下的,ajn
直径约,ajo
1,ajp
/,ajq
3PD,ajr
典型性,ajs
CNVos,ajt
弧形,aju
灶,ajv
点,ajw
线状,ajx
漆样,ajy
裂纹,ajz
性,aka
CNV,akb
病理,akc
近视,akd
病变,ake
紊乱,akf
中后期,akg
线条状,akh
漆,aki
后,akj
极至,akk
密集,akl
高度近视,akm
隐匿性,akn
广泛性,ako
沉积物,akp
近中,akq
周,akr
为主,aks
残留,akt
光凝,aku
术后,akv
开始,akw
于,akx
微血管,aky
时间延长,akz
渐有,ala
糖尿病,alb
斑点状,alc
簇状,ald
减弱,ale
末梢,alf
局灶,alg
前,alh
积血,ali
第三,alj
漂浮,alk
玻璃体腔,all
其,alm
融合的,aln
陈旧,alo
激光,alp
全程,alq
偏下,alr
端的,als
静脉扩张,alt
其属区,alu
火焰状,alv
出血,alw
明显的,alx
多处,aly
轻,alz
半,ama
局限性,amb
可,amc
透见,amd
血管网,ame
中晚期,amf
不明显,amg
PCVod,amh
视网膜色素,ami
上皮,amj
组织,amk
各期,aml
4,amm
2PD,amn
稍弱,amo
弧,amp
数,amq
OCT,amr
检查,ams
走,amt
行弯曲,amu
视网膜中央静脉,amv
阻塞,amw
膜形成,amx
管径,amy
粗细,amz
不均,ana
上支,anb
所属,anc
鼻侧视网膜,and
血管闭塞,ane
行径,anf
结构破坏,ang
BRVO,anh
显影,ani
强,anj
扭曲,ank
先天,anl
侧近,anm
小灶,ann
数个,ano
针尖,anp
样高,anq
融合,anr
湖状,ans
弱,ant
神经上皮,anu
VKH,anv
环形,anw
屈光间,anx
质不清,any
前膜,anz
间杂,aoa
条状,aob
性弱,aoc
4PD,aod
类,aoe
圆形,aof
出血性,aog
约,aoh
2,aoi
处,aoj
显著,aok
上分支,aol
近端,aom
数处,aon
<,aoo
1PD,aop
状无,aoq
BRVOod,aor
中于,aos
阻挡,aot
位置,aou
不恒定,aov
未见异常,aow
质,aox
混浊,aoy
血管膜,aoz
视网膜水肿,apa
斑点,apb
结构变形,apc
原因,apd
待查,ape
在,apf
测试,apg
息肉状,aph
灶伴,api
圆形的,apj
小片,apk
玻璃,apl
PCVos,apm
近,apn
血管芽,apo
周为,app
PDRos,apq
其内,apr
可透见,aps
轻微,apt
中间,apu
葡萄膜炎,apv
局灶性,apw
萎缩灶,apx
及其,apy
上缘,apz
增强,aqa
CSCod,aqb
网点,aqc
杯盘,aqd
比,aqe
充盈缺损,aqf
充盈,aqg
纤细,aqh
部为,aqi
椒盐,aqj
样,aqk
团,aql
絮状混浊,aqm
端斑状,aqn
走形,aqo
上半,aqp
变小,aqq
ICGAos,aqr
包括,aqs
网状,aqt
变形,aqu
数团,aqv
PDR,aqw
多灶性,aqx
条带状,aqy
渐,aqz
出现,ara
增多,arb
活动性,arc
PCV,ard
区内,are
甚伴,arf
侧支循环,arg
部斑状,arh
半侧,ari
RVOos,arj
青光眼,ark
少量,arl
期渐,arm
花瓣样,arn
Behcet,aro
病,arp
相对性,arq
上半视网膜,arr
即见,ars
沙漏,art
下强,aru
内部,arv
上端,arw
显露,arx
脉络膜炎,ary
平直,arz
近视眼,asa
底,asb
增生,asc
其中,asd
处见,ase
团状,asf
迅速,asg
素,ash
模糊,asi
可辨,asj
Coats,ask
外,asl
CNVod,asm
隐约,asn
轻微的,aso
ICNVod,asp
块状,asq
后极,asr
远端,ass
下缘,ast
侧缘,asu
破坏,asv
周灶性,asw
所在,asx
中度,asy
增殖期,asz
状高,ata
急性,atb
坏死,atc
恢复期,atd
渐见,ate
*,atf
5PD,atg
范围,ath
强弱,ati
瘢痕,atj
残存,atk
交叉压迫,atl
现象,atm
交通支,atn
引流,ato
区见,atp
大,atq
部低,atr
区较,ats
一小,att
部多,atu
吲哚,atv
青绿,atw
ICG,atx
中期,aty
一直,atz
持续,aua
到,aub
息肉,auc
脱离区,aud
及微,aue
部见,auf
斑渐,aug
毛细血管通透性,auh
见到,aui
部可,auj
有所,auk
余,aul
及条,aum
索状,aun
不变,auo
花瓣,aup
变化,auq
见数,aur
团样,aus
不清楚,aut
弯曲,auu
无血管区,auv
壁有,auw
吲哚菁绿,aux
处渐,auy
荧光增强,auz
处小,ava
可疑,avb
普遍,avc
血管炎,avd
外至,ave
骨细胞,avf
原发性视网膜色素变性,avg
数斑,avh
符合,avi
下半部,avj
看不清,avk
炎,avl
AMD,avm
dry,avn
期间,avo
其间,avp
夹杂,avq
性强,avr
诊断,avs
CME,avt
疣样,avu
PED,avv
疣性,avw
远中,avx
周斑,avy
状点,avz
簇样,awa
聚焦,awb
不良,awc
爬行,awd
其上,awe
瘤样,awf
内在,awg
MRI,awh
超声,awi
不规则的,awj
血管性,awk
周局,awl
鼻下象限,awm
极,awn
絮状,awo
纵向的,awp
条形,awq
静止,awr
ICGAod,aws
样强,awt
湖样,awu
清,awv
浆液性,aww
诊,awx
专科,awy
带状,awz
状透见,axa
与,axb
荧光强度,axc
更强,axd
局灶类,axe
A,axf
-,axg
RCT,axh
=,axi
8.,axj
34s,axk
尚,axl
伴轻,axm
棉绒,axn
高血压性视网膜病变,axo
旁,axp
小团,axq
数小颗,axr
斑状强,axs
消退,axt
BVN,axu
注意,axv
随访,axw
双眼,axx
缺,axy
朦胧,axz
绕以,aya
对称性,ayb
ou,ayc
一,ayd
直径,aye
其近,ayf
缘,ayg
缺乏,ayh
状强,ayi
区域性,ayj
局部异常,ayk
吻合,ayl
累及,aym
陈旧的,ayn
视网膜黄斑,ayo
小分支,ayp
发散,ayq
三个,ayr
欠,ays
均匀,ayt
综合征,ayu
屈光介质,ayv
中至,ayw
膨大,ayx
并,ayy
向,ayz
下长入,aza
血管吻合,azb
渗出,azc
灶渐,azd
冲刷,aze
围绕,azf
丛状,azg
散在的,azh
PDRod,azi
及其下,azj
缘斑,azk
环,azl
本身,azm
单纯性,azn
进一步,azo
明确,azp
情况,azq
及局,azr
清晰,azs
萎缩性,azt
回流,azu
周及,azv
周边的,azw
欠清,azx
CRVOod,azy
部灶性,azz
黄斑中心凹,baa
下斜,bab
行,bac
哑铃,bad
上和,bae
圆斑状,baf
视网膜变性,bag
不规则,bah
7.,bai
非典型,baj
外观,bak
呈强,bal
尚清,bam
CMEos,ban
偏小,bao
隆起,bap
前及,baq
视神经视网膜炎,bar
疣样的,bas
外周,bat
NPDR,bau
黄白色,bav
网,baw
弥漫的,bax
亦,bay
可以,baz
DRou,bba
血管充盈,bbb
基本,bbc
云雾,bbd
孔源性,bbe
略,bbf
多局,bbg
斑状弱,bbh
从,bbi
鼻下的,bbj
清晰的,bbk
小圆点,bbl
状低,bbm
先天性,bbn
黄斑缺损,bbo
脱色素,bbp
多片状,bbq
视网膜点,bbr
出血点,bbs
弥漫,bbt
16s,bbu
吻合支,bbv
连其,bbw
出,bbx
所致,bby
弥散性,bbz
多灶,bca
整个,bcb
黄斑部,bcc
缺血性,bcd
视神经,bce
其下,bcf
巩膜,bcg
仍强,bch
伴近,bci
多发性,bcj
微动脉瘤,bck
性高,bcl
内见,bcm
稀疏,bcn
DME,bco
补充光,bcp
凝,bcq
簇状强,bcr
均,bcs
ICGICG,bct
硬性,bcu
渗出性,bcv
OS,bcw
全,bcx
少许,bcy
苔藓,bcz
见于,bda
斑样,bdb
"""",bdc
双轨,bdd
征,bde
稍强,bdf
杯,bdg
一点,bdh
墨渍,bdi
蛇行,bdj
受累,bdk
星状,bdl
延迟,bdm
仅,bdn
属支,bdo
伴其属,bdp
浅层,bdq
混浊性,bdr
聚集,bds
伴有,bdt
见类,bdu
三角形,bdv
条,bdw
索性,bdx
前条,bdy
纤维膜,bdz
性低,bea
牵拉,beb
见成,bec
斑外,bed
羽毛状,bee
有髓神经纤维,bef
见点,beg
圆点,beh
缘见,bei
PEDos,bej
破碎,bek
状弱,bel
延长部分,bem
仍弱,ben
伴其下,beo
方舟,bep
下弱,beq
伴弱,ber
线状萎缩,bes
无渗漏,bet
见局,beu
特别是,bev
周除,bew
区域边界,bex
不,bey
伴局,bez
带状排列,bfa
RPos,bfb
6,bfc
富,bfd
占位,bfe
绕,bff
孤立,bfg
脉络膜血管瘤,bfh
玻璃体出血,bfi
斑驳的,bfj
拱,bfk
环缩小,bfl
周点,bfm
部局,bfn
周部,bfo
伴其,bfp
周弧,bfq
窄,bfr
延长,bfs
襻,bft
黄色斑点,bfu
症,bfv
彩照,bfw
其鼻,bfx
大范围,bfy
不明,bfz
来源,bga
皮质,bgb
可能性,bgc
周小,bgd
锯齿缘,bge
后方,bgf
半球状,bgg
一支,bgh
正常的,bgi
滋养,bgj
均质,bgk
清楚,bgl
方向,bgm
拖曳,bgn
伸直,bgo
不清的,bgp
伴小,bgq
FEVRod,bgr
小簇,bgs
泡状,bgt
除外,bgu
晶体,bgv
周小簇,bgw
Eales,bgx
睫状体,bgy
平坦,bgz
部的,bha
高度,bhb
隆起的,bhc
双循环,bhd
啊,bhe
脉络膜黑色素瘤,bhf
小圆,bhg
伴点,bhh
颞测,bhi
两个,bhj
大少,bhk
不一,bhl
相连,bhm
半球,bhn
丰富,bho
色素沉着,bhp
肿瘤,bhq
会诊,bhr
平滑肌瘤,bhs
伴属,bht
属区,bhu
局限性水肿,bhv
影响,bhw
成像质量,bhx
焦点,bhy
呈弱,bhz
一类,bia
相对,bib
荧光素染料,bic
葡萄串,bid
附近,bie
炎性,bif
一团,big
偏弱,bih
周小团,bii
RPod,bij
致密,bik
排除,bil
全身感染,bim
因素,bin
周斑状,bio
斑较,bip
斑块,biq
隐见,bir
影,bis
IRMAos,bit
偏鼻上,biu
确切,biv
慢性,biw
CSCos,bix
未,biy
半月形,biz
放射状,bja
成,bjb
凹陷,bjc
增大,bjd
提示,bje
可能,bjf
不在,bjg
同一,bjh
平面,bji
着色,bjj
盘周,bjk
异位,bjl
继发性,bjm
移位,bjn
IGA,bjo
结节,bjp
见弱,bjq
环绕,bjr
稍直,bjs
黄斑裂孔,bjt
劈裂,bju
等,bjv
串珠,bjw
尤,bjx
以下,bjy
方及,bjz
著,bka
蛇形,bkb
各种,bkc
DMEos,bkd
余未见,bke
DRos,bkf
囊,bkg
带样,bkh
湿性,bki
老年,bkj
黄斑变性,bkk
右,bkl
眼脉络膜,bkm
缺损,bkn
一下,bko
全过程,bkp
前锋,bkq
其属,bkr
大小不等,bks
小点,bkt
略大于,bku
成簇,bkv
照相,bkw
图片,bkx
两,bky
一片,bkz
或,bla
浆的,blb
良好,blc
全周,bld
颗粒状,ble
斑性,blf
激光治疗,blg
随后,blh
原田,bli
荧光点,blj
OD,blk
视杯,bll
RP,blm
孤立的,bln
痣,blo
处及,blp
治疗,blq
下端,blr
端,bls
灶处,blt
以,blu
缓慢,blv
前移,blw
部及,blx
主干,bly
较大,blz
FAZ,bma
两处,bmb
成片的,bmc
融合成,bmd
带状的,bme
结晶,bmf
条纹状,bmg
细胞内,bmh
旁及,bmi
始终,bmj
沿,bmk
荧,bml
颞尚,bmm
脉络膜视网膜萎缩,bmn
病理性,bmo
形,bmp
但,bmq
其他,bmr
部位,bms
5,bmt
周成,bmu
多点,bmv
和局,bmw
动脉硬化,bmx
中线,bmy
轮廓,bmz
短线,bna
减退,bnb
弥散,bnc
部斑,bnd
色素斑点,bne
沉着,bnf
斜入,bng
后巩膜葡萄肿,bnh
倒三角形,bni
透见性,bnj
毛刷,bnk
稀疏的,bnl
区及,bnm
下支,bnn
侧盘,bno
相应,bnp
周约,bnq
消失,bnr
瞳孔区,bns
侧局,bnt
处局,bnu
颞下点,bnv
静脉的,bnw
沙硕样,bnx
晶状体混浊,bny
成像,bnz
局部隆起,boa
部分融合,bob
迁移,boc
蘑菇状,bod
表现,boe
中心的,bof
扩张部分,bog
影子,boh
两片,boi
性质,boj
呈环形,bok
排列的,bol
单个,bom
较大的,bon
Fuchs,boo
旁有,bop
髓鞘,boq
神经纤维,bor
仍,bos
保持,bot
形态发育,bou
互相,bov
DMEod,bow
AIONos,box
隐约可见,boy
片,boz
高强,bpa
见条,bpb
偏低,bpc
因故,bpd
刚,bpe
交叉处,bpf
逐渐增强,bpg
小条,bph
化,bpi
程度,bpj
不同的,bpk
前期,bpl
小支,bpm
睫状,bpn
中央动脉,bpo
并且,bpp
较少,bpq
除鼻上,bpr
睫状视网膜动脉,bps
视网膜中央动脉,bpt
再通,bpu
一根,bpv
通过,bpw
炊烟,bpx
×,bpy
微弱,bpz
晕,bqa
脂质,bqb
部类,bqc
仍见,bqd
方,bqe
IRMAod,bqf
偏鼻,bqg
团块,bqh
中小,bqi
墨迹,bqj
弥散点,bqk
簇透见,bql
BVNod,bqm
变细,bqn
V,bqo
微低,bqp
17s,bqq
侧枝循环,bqr
镰状,bqs
增殖性,bqt
伴斑,bqu
盘状,bqv
稀少,bqw
早,bqx
斑见,bqy
岛样,bqz
出血灶,bra
遮挡,brb
灰白色,brc
换班,brd
及点,bre
Dalen,brf
时间延迟,brg
高低,brh
视,bri
乳头,brj
较弱,brk
及数,brl
见斑,brm
之弱,brn
大团,bro
均匀染料,brp
10,brq
浅,brr
带,brs
皱襞,brt
位于,bru
侧视,brv
盘强,brw
及斑,brx
小线,bry
下边缘,brz
弧线,bsa
缺失,bsb
wet,bsc
图像,bsd
细节,bse
可见的,bsf
所见,bsg
样低,bsh
放射,bsi
皱褶,bsj
VKHos,bsk
云,bsl
生理,bsm
暗斑,bsn
患儿,bso
合作,bsp
故,bsq
时期,bsr
无法,bss
采集,bst
窥不清,bsu
灶及,bsv
样透见,bsw
卵圆形,bsx
缺血,bsy
程度较,bsz
树枝状,bta
清晰可见,btb
C,btc
D,btd
中心局,bte
条索样,btf
怒张,btg
II,bth
对焦,bti
层间,btj
部小,btk
所,btl
辖,btm
完整,btn
半略,bto
加深,btp
扇形,btq
形状,btr
FEVR,bts
一高,btt
余中,btu
存在,btv
旁渐,btw
片状组织,btx
大部分,bty
月牙,btz
浆液,bua
血液,bub
后葡萄肿,buc
尚可,bud
内出血,bue
视网膜脉络膜炎,buf
闭塞性,bug
继发性视网膜脱离,buh
旁小,bui
维持,buj
CRAO,buk
下至,bul
区局,bum
请注意,bun
病史,buo
外伤,bup
发作期,buq
中断,bur
动脉瘤,bus
竖,but
椭圆形,buu
数条,buv
RAPod,buw
终末,bux
逐渐,buy
晕染,buz
缩窄,bva
局灶成,bvb
前见,bvc
环状,bvd
不太,bve
部一,bvf
Weiss,bvg
色素痣,bvh
伴壁染,bvi
不完全,bvj
合并,bvk
睫网,bvl
自发,bvm
可见一斑,bvn
内局,bvo
星空,bvp
影像,bvq
NPDRos,bvr
灶样,bvs
条带,bvt
几个,bvu
},bvv
盘缘,bvw
分辨,bvx
矢状,bvy
两点,bvz
成片,bwa
光凝斑,bwb
弧状弱,bwc
及远,bwd
尤为,bwe
伴高,bwf
新个生,bwg
不均匀,bwh
中段,bwi
部一灶性,bwj
或者,bwk
斑状出血,bwl
上类,bwm
灶缘,bwn
花冠,bwo
视神经萎缩,bwp
团簇状,bwq
对称的,bwr
缘至,bws
毛糙的,bwt
视网膜锥,bwu
杆,bwv
细胞,bww
营养不良,bwx
良性,bwy
三处,bwz
扇贝,bxa
中下,bxb
样条,bxc
失去,bxd
均质的,bxe
湮灭,bxf
Stargardt,bxg
象散,bxh
成斑,bxi
周三,bxj
小于,bxk
左侧,bxl
眼球震颤,bxm
中鼻上,bxn
不同,bxo
最,bxp
可疑的,bxq
两小,bxr
更,bxs
两强,bxt
两小团,bxu
典型,bxv
小团强,bxw
多多,bxx
不规则性,bxy
小动脉,bxz
小动脉瘤,bya
处有,byb
簇瘤样,byc
RRA,byd
肥大,bye
脉络,byf
膜通透性,byg
中见,byh
弧形的,byi
显著的,byj
拟诊,byk
抗,byl
VEGF,bym
斑状点,byn
下方的,byo
少量的,byp
CRVOos,byq
窥见,byr
前舟,bys
斑和点,byt
OCTos,byu
PEDod,byv
圆,byw
簇状弱,byx
特点,byy
及大,byz
状微,bza
灶内,bzb
环形的,bzc
勾勒,bzd
出约,bze
显,bzf
内未见,bzg
渐显,bzh
患者,bzi
造影检查,bzj
28s,bzk
增强的,bzl
局灶弱,bzm
支,bzn
基底部,bzo
环状纤维,bzp
呈类,bzq
伴血管,bzr
小类,bzs
不伴,bzt
青排,bzu
左,bzv
点状的,bzw
水肿形成,bzx
末端分支,bzy
待排,bzz
看,caa
循环时间,cab
界限,cac
染色的,cad
斑低,cae
中心点,caf
一囊,cag
袋样,cah
玻璃体膜,cai
期内,caj
网膜,cak
及及,cal
垂直的,cam
梭型,can
弧透见,cao
相连的,cap
PM,caq
分布的,car
..,cas
弧低,cat
0.8,cau
渗,cav
毛细,caw
CSC,cax
毛细血管瘤,cay
各个,caz
临近,cba
CMEod,cbb
膜性,cbc
骨样,cbd
色素细胞,cbe
广泛分布,cbf
体积,cbg
血性,cbh
不佳,cbi
硅油,cbj
反光,cbk
周大,cbl
分布,cbm
各级,cbn
毛,cbo
干性,cbp
检查报告,cbq
两团,cbr
发育异常,cbs
稍低,cbt
视野检查,cbu
下半,cbv
上皮组织,cbw
类圆,cbx
见高低,cby
呈现,cbz
乳头水肿,cca
不完整,ccb
见片,ccc
检测,ccd
拍摄,cce
周见,ccf
迁延型,ccg
荧光性,cch
界清,cci
视网膜色素变性,ccj
亚型,cck
视网,ccl
瘢痕组织,ccm
均一,ccn
上周,cco
部部局,ccp
局多,ccq
新月形,ccr
内侧缘,ccs
各项,cct
限,ccu
稳定,ccv
状及,ccw
见略,ccx
外缘,ccy
马蹄形,ccz
连,cda
一横,cdb
字形,cdc
上极,cdd
高血压,cde
受,cdf
见多局,cdg
一局,cdh
囊袋样,cdi
尖端,cdj
朝向,cdk
血管丰富的,cdl
瘤体,cdm
瘤,cdn
体高,cdo
三角形的,cdp
颞下经,cdq
线状排列,cdr
大面积,cds
形态异常,cdt
4RVOos,cdu
细小的,cdv
三支,cdw
倾向,cdx
旁弱,cdy
长,cdz
竖条,cea
形强,ceb
坏,cec
稍微,ced
内小,cee
结构完整,cef
中间部,ceg
其周,ceh
轻轻,cei
度,cej
中重度,cek
小囊,cel
乳斑,cem
束,cen
荧光的,ceo
交界处,cep
条强,ceq
间,cer
不能,ces
原发性,cet
部高,ceu
PRE,cev
内有,cew
血管分布,cex
因,cey
辨别,cez
瞳孔,cfa
量,cfb
DRI,cfc
一条,cfd
在上,cfe
另,cff
走入,cfg
B超,cfh
后级部,cfi
水平,cfj
分界线,cfk
部稍,cfl
缘小,cfm
不定,cfn
灶的,cfo
确切的,cfp
呈瘤样,cfq
线装,cfr
余中周,cfs
大小不一,cft
缘处,cfu
大于,cfv
FAG,cfw
簇新,cfx
生,cfy
蜂窝状,cfz
严重,cga
PRP,cgb
具有,cgc
所示,cgd
一致的,cge
螺旋状,cgf
牛眼,cgg
进展期,cgh
蝶形,cgi
中央,cgj
牵牛花,cgk
新成,cgl
外余,cgm
血管壁,cgn
牵引,cgo
染灶,cgp
呈节,cgq
段,cgr
区的,cgs
格子,cgt
黑外,cgu
亮的,cgv
晕状,cgw
小叶,cgx
明显增加,cgy
F,cgz
周小段,cha
弥散的,chb
规则的,chc
转呈,chd
曲折,che
所在区域,chf
无症状,chg
缘小簇,chh
PDRou,chi
眼,chj
软性,chk
方圆,chl
路,chm
皮萎缩,chn
填充,cho
宽度,chp
两小簇,chq
眼位,chr
上局,chs
CRAOod,cht
RVO,chu
微动脉,chv
粟粒状,chw
位置不变,chx
片样,chy
占位性,chz
黑瘤,cia
闭锁,cib
浓厚,cic
深层,cid
部未见,cie
扩张的,cif
强荧,cig
星芒状,cih
为重,cii
左炎,cij
家渗,cik
结果,cil
葡萄膜,cim
黄,cin
VH,cio
中心性,cip
脉络膜视网膜病,ciq
变,cir
相当于,cis
倍,cit
结构异常,ciu
个,civ
窗样,ciw
形及,cix
染伴,ciy
FEVER,ciz
液平,cja
小段,cjb
不随,cjc
点样,cjd
性富,cje
周略,cjf
其所辖,cjg
湿,cjh
性型,cji
同心圆,cjj
PR,cjk
线,cjl
不足,cjm
梭形,cjn
消,cjo
褪,cjp
部灶,cjq
U,cjr
提前,cjs
终止,cjt
余下,cju
状漆样,cjv
伴其上,cjw
各见,cjx
13s,cjy
活动期,cjz
性前,cka
下远,ckb
上边界,ckc
炎症,ckd
二,cke
三级,ckf
5P,ckg
D盘,ckh
成分,cki
渔网,ckj
部见局,ckk
畸形,ckl
花蕊,ckm
扩展,ckn
外围,cko
荧光带,ckp
视神经炎,ckq
横向,ckr
细,cks
细条纹,ckt
即,cku
6PD,ckv
光凝后,ckw
索样,ckx
以后,cky
一过性,ckz
白点,cla
嵴,clb
血光,clc
较直,cld
窥清,cle
伴较,clf
示,clg
可见区域,clh
对应,cli
弧高,clj
变为,clk
一地,cll
图样,clm
静脉炎,cln
动脉血,clo
管,clp
淋巴瘤,clq
内科,clr
蘑菇,cls
荧光染料,clt
小弧,clu
小孩,clv
配合,clw
欠佳,clx
边缘模糊,cly
有微,clz
也,cma
斑及,cmb
模糊的,cmc
伴灶性,cmd
水平线,cme
动静,cmf
侧静脉,cmg
AIONod,cmh
模糊不清,cmi
大丛,cmj
内及,cmk
增殖性视网膜病,cml
更为,cmm
区于,cmn
尚未,cmo
鼻上点,cmp
11,cmq
秒,cmr
节段,cms
前点,cmt
似有,cmu
囊肿,cmv
外侧缘,cmw
0.7,cmx
退行,cmy
颞下局,cmz
1P,cna
Y,cnb
明细,cnc
更加,cnd
竖行,cne
附件,cnf
公安,cng
集合,cnh
迟滞,cni
血管节,cnj
僵硬,cnk
水渍,cnl
ERG,cnm
打,cnn
了,cno
处见点,cnp
延至,cnq
狭窄,cnr
现状,cns
2s,cnt
斑片样,cnu
应,cnv
数小,cnw
不排除,cnx
NPDRod,cny
盘高,cnz
囊带,coa
阶段性,cob
见团,coc
25s,cod
弥漫性萎缩,coe
不典型,cof
完善,cog
电,coh
相关检查,coi
放射性,coj
损坏,cok
我,col
塞,com
上半部,con
随诊,coo
变直,cop
弓蛔虫病,coq
火焰,cor
臂,cos
16,cot
血管丛,cou
在后,cov
就,cow
旁漆,cox
点对应,coy
球状,coz
上次,cpa
比较,cpb
下部,cpc
无伴,cpd
尤重,cpe
部处,cpf
脉络膜缺损,cpg
AION,cph
强度,cpi
弓,cpj
旁局,cpk
眼底检查,cpl
不配合,cpm
团簇,cpn
壁染伴,cpo
中央区,cpp
类型,cpq
分别,cpr
伴条,cps
纹样,cpt
积聚,cpu
腊肠,cpv
壁,cpw
Os,cpx
尤其,cpy
区未见,cpz
PIC,cqa
样样,cqb
弧性,cqc
眼球下转,cqd
变行,cqe
该处,cqf
疤痕,cqg
沟通,cqh
显弱,cqi
旁约,cqj
扩航,cqk
部小段,cql
此外,cqm
靠近,cqn
走出,cqo
31s,cqp
OCTod,cqq
轻度的,cqr
不等,cqs
与其,cqt
关注,cqu
较多斑,cqv
数颗,cqw
RPER,cqx
周较,cqy
下发,cqz
那个,cra
内侧,crb
弥漫性的,crc
内类,crd
半为,cre
多的,crf
血案,crg
密集的,crh
处斑状,cri
减少,crj
最为,crk
显示,crl
视网膜内层,crm
变薄,crn
层,cro
低中,crp
反射信号,crq
全身性,crr
成串的,crs
短暂性,crt
外较,cru
可见水平,crv
多团,crw
粟粒样,crx
成人,cry
虫,crz
噬,csa
有斑,csb
ARNos,csc
CRAOos,csd
期中,cse
毛细管扩张,csf
囊状,csg
散,csh
在线,csi
瘢痕期,csj
感染,csk
免疫,csl
发明,csm
暗条纹,csn
部较,cso
枪型,csp
总干样,csq
多条,csr
周多,css
横,cst
全程无,csu
机化,csv
连续,csw
三角形排列,csx
细小,csy
层间水,csz
肿,cta
渗出物,ctb
下局,ctc
排空,ctd
中仅,cte
炎后,ctf
脉络膜脱离,ctg
或小簇,cth
视野,cti
多焦,ctj
从盘,ctk
沿处,ctl
象限的,ctm
积液,ctn
查,cto
血糖,ctp
支及,ctq
此,ctr
捏,cts
余窥不清,ctt
中未见,ctu
黑斑,ctv
脉络膜肿瘤,ctw
转移,ctx
Ca,cty
区渐,ctz
一约,cua
中部,cub
灶微,cuc
伴小簇,cud
大量的,cue
条纹,cuf
伴斑状,cug
毛血,cuh
ERGou,cui
MEWDSod,cuj
三点,cuk
ARBod,cul
椭圆形的,cum
伴成,cun
形弱,cuo
发条,cup
油水界面,cuq
0s,cur
性透见,cus
类环,cut
球形,cuu
粗大的,cuv
交感性眼炎,cuw
期间中,cux
伴行静脉,cuy
血常规检查,cuz
片状玻璃,cva
