钟点,aaa
后巩膜葡萄肿,bho
透见性,bhp
毛刷,bhq
稀疏的,bhr
区及,bhs
下支,bht
相应,bhu
周约,bhv
消失,bhw
显露,bhx
斑状强,bhy
侧局,bhz
处局,bia
颞下点,bib
静脉的,bic
沙硕样,bid
晶状体混浊,bie
成像,bif
或,big
部分融合,bih
迁移,bii
表现,bij
中心的,bik
扩张部分,bil
影子,bim
两片,bin
性质,bio
呈环形,bip
排列的,biq
单个,bir
较大的,bis
Fuchs,bit
旁有,biu
髓鞘,biv
神经纤维,biw
仍,bix
保持,biy
形态发育,biz
AION,bja
隐约可见,bjb
片,bjc
高强,bjd
见条,bje
偏低,bjf
因故,bjg
刚,bjh
交叉处,bji
逐渐增强,bjj
化,bjk
前期,bjl
开始,bjm
小支,bjn
睫状,bjo
中央动脉,bjp
并且,bjq
较少,bjr
除鼻上,bjs
视网膜中央动脉,bjt
再通,bju
一根,bjv
通过,bjw
脂质,bjx
4,bjy
部类,bjz
下强,bka
一类,bkb
仍见,bkc
方,bkd
团块,bke
中小,bkf
略,bkg
弥散点,bkh
簇透见,bki
变细,bkj
A,bkk
V,bkl
交叉压迫,bkm
微低,bkn
侧枝循环,bko
镰状,bkp
增殖性,bkq
伴斑,bkr
盘状,bks
稀少,bkt
斑见,bku
岛样,bkv
出血灶,bkw
遮挡,bkx
积存,bky
换班,bkz
及点,bla
Dalen,blb
-,blc
高低,bld
花瓣样,ble
及数,blf
之弱,blg
10,blh
滋养,bli
浅,blj
带,blk
皱襞,bll
位于,blm
及斑,bln
小线,blo
下边缘,blp
弧线,blq
wet,blr
可见的,bls
见斑,blt
所见,blu
放射,blv
皱褶,blw
云,blx
生理,bly
暗斑,blz
患儿,bma
合作,bmb
故,bmc
时期,bmd
无法,bme
采集,bmf
窥不清,bmg
灶及,bmh
样透见,bmi
缺血,bmj
程度较,bmk
C,bml
D,bmm
怒张,bmn
II,bmo
对焦,bmp
层间,bmq
斑透见,bmr
所,bms
辖,bmt
完整,bmu
加深,bmv
扇形,bmw
形状,bmx
一高,bmy
余中,bmz
片状组织,bna
大部分,bnb
月牙,bnc
浆液,bnd
血液,bne
巩膜,bnf
后葡萄肿,bng
尚可,bnh
内出血,bni
5PD,bnj
细节,bnk
部小,bnl
视网膜脉络膜炎,bnm
极至,bnn
闭塞性,bno
继发性视网膜脱离,bnp
旁小,bnq
血管充盈,bnr
CRAO,bns
下至,bnt
区局,bnu
请注意,bnv
病史,bnw
外伤,bnx
发作期,bny
动脉瘤,bnz
斑低,boa
竖,bob
椭圆形,boc
数条,bod
RAP,boe
终末,bof
缩窄,bog
局灶成,boh
前见,boi
环状,boj
不太,bok
部一,bol
Weiss,bom
色素痣,bon
动,boo
静脉充盈,bop
回流,boq
伴壁染,bor
不完全,bos
合并,bot
睫网,bou
双眼,bov
自发,bow
可见一斑,box
早,boy
星空,boz
影像,bpa
灶样,bpb
墨迹,bpc
条带,bpd
几个,bpe
盘缘,bpf
分辨,bpg
PDRDME,bph
矢状,bpi
两点,bpj
成片,bpk
光凝斑,bpl
弧状弱,bpm
及远,bpn
呈强,bpo
稍弱,bpp
伴高,bpq
新个生,bpr
不均匀,bps
中段,bpt
部一灶性,bpu
或者,bpv
斑状出血,bpw
灶缘,bpx
花冠,bpy
呈弱,bpz
视神经萎缩,bqa
强弱,bqb
对称的,bqc
缘至,bqd
毛糙的,bqe
视网膜锥,bqf
杆,bqg
细胞,bqh
营养不良,bqi
中下,bqj
样条,bqk
失去,bql
均质的,bqm
湮灭,bqn
Stargardt,bqo
象散,bqp
成斑,bqq
周三,bqr
小于,bqs
左侧,bqt
眼球震颤,bqu
中鼻上,bqv
不同,bqw
程度,bqx
最,bqy
可疑的,bqz
两小团,bra
多多,brb
不规则性,brc
典型,brd
小动脉,bre
小动脉瘤,brf
处有,brg
簇瘤样,brh
RRA,bri
肥大,brj
脉络,brk
膜通透性,brl
中见,brm
炊烟,brn
弧形的,bro
拟诊,brp
抗,brq
VEGF,brr
斑状点,brs
下方的,brt
窥见,bru
前舟,brv
斑和点,brw
圆,brx
特点,bry
及大,brz
轻微的,bsa
状微,bsb
环形的,bsc
上类,bsd
显,bse
内未见,bsf
渐显,bsg
患者,bsh
造影检查,bsi
更,bsj
中断,bsk
支,bsl
基底部,bsm
环状纤维,bsn
伴血管,bso
不伴,bsp
青排,bsq
点状的,bsr
水肿形成,bss
末端分支,bst
待排,bsu
界限,bsv
中心点,bsw
三处,bsx
期内,bsy
清晰可见,bsz
相对,bta
视,btb
网膜,btc
及及,btd
弧透见,bte
相连的,btf
PM,btg
良好,bth
弧低,bti
0.8,btj
毛细,btk
毛细血管瘤,btl
各个,btm
临近,btn
膜性,bto
骨样,btp
色素细胞,btq
广泛分布,btr
不佳,bts
体积,btt
血性,btu
硅油,btv
反光,btw
周大,btx
分布,bty
玻璃体膜,btz
各级,bua
毛,bub
干性,buc
检查报告,bud
状弱,bue
发育异常,buf
视野检查,bug
上皮组织,buh
类圆,bui
见高低,buj
乳头水肿,buk
乳头,bul
不完整,bum
见片,bun
检测,buo
到,bup
拍摄,buq
周见,bur
整个,bus
附近,but
荧光性,buu
界清,buv
视网膜色素变性,buw
亚型,bux
视网,buy
瘢痕组织,buz
上周,bva
部部局,bvb
渗出性,bvc
新月形,bvd
内侧缘,bve
各项,bvf
限,bvg
稳定,bvh
状及,bvi
见略,bvj
外缘,bvk
马蹄形,bvl
上极,bvm
高血压,bvn
受,bvo
见多局,bvp
囊袋样,bvq
尖端,bvr
朝向,bvs
血管丰富的,bvt
瘤体,bvu
三角形的,bvv
颞下经,bvw
线状排列,bvx
簇状弱,bvy
形态异常,bvz
4RVO,bwa
细小的,bwb
三支,bwc
倾向,bwd
旁弱,bwe
坏,bwf
内小,bwg
结构完整,bwh
中间部,bwi
均一,bwj
其周,bwk
轻轻,bwl
度,bwm
中重度,bwn
荧光的,bwo
交界处,bwp
条强,bwq
间,bwr
不能,bws
原发性,bwt
部高,bwu
PRE,bwv
血管分布,bww
瞳孔,bwx
DRI,bwy
一条,bwz
在上,bxa
另,bxb
走入,bxc
部稍,bxd
样低,bxe
缘小,bxf
缺乏,bxg
朦胧,bxh
不定,bxi
灶的,bxj
确切的,bxk
上端,bxl
外观,bxm
呈瘤样,bxn
线装,bxo
余中周,bxp
大小不一,bxq
微弱,bxr
晕,bxs
FAG,bxt
簇新,bxu
生,bxv
严重,bxw
PRP,bxx
具有,bxy
螺旋状,bxz
高度,bya
牛眼,byb
进展期,byc
稍低,byd
蝶形,bye
中央,byf
牵牛花,byg
新成,byh
存在,byi
外余,byj
血管壁,byk
牵引,byl
染灶,bym
呈节,byn
段,byo
区的,byp
格子,byq
小叶,byr
明显增加,bys
F,byt
周小段,byu
弥散的,byv
曲折,byw
无症状,byx
缘小簇,byy
大于,byz
血管病,bza
变局,bzb
眼,bzc
直径,bzd
软性,bze
图像,bzf
方圆,bzg
皮萎缩,bzh
填充,bzi
两小簇,bzj
眼位,bzk
上局,bzl
微动脉,bzm
粟粒状,bzn
位置不变,bzo
占位性,bzp
黑瘤,bzq
闭锁,bzr
浓厚,bzs
深层,bzt
部未见,bzu
星芒状,bzv
为重,bzw
结果,bzx
黄,bzy
PDRVH,bzz
中心性,caa
脉络膜视网膜病,cab
变,cac
相当于,cad
倍,cae
结构异常,caf
个,cag
小囊,cah
窗样,cai
缺损,caj
形及,cak
染伴,cal
FEVER,cam
液平,can
晕状,cao
点样,cap
性富,caq
周略,car
其所辖,cas
同心圆,cat
PR,cau
线,cav
不足,caw
部灶,cax
U,cay
提前,caz
终止,cba
余下,cbb
稍微,cbc
伴其上,cbd
各见,cbe
活动期,cbf
性前,cbg
下远,cbh
炎症,cbi
二,cbj
三级,cbk
P,cbl
D盘,cbm
成分,cbn
部见局,cbo
畸形,cbp
花蕊,cbq
扩展,cbr
外围,cbs
荧光带,cbt
视神经炎,cbu
横向,cbv
细,cbw
即,cbx
6PD,cby
光凝后,cbz
索样,cca
以后,ccb
一过性,ccc
白点,ccd
嵴,cce
血光,ccf
瘤,ccg
较直,cch
窥清,cci
伴较,ccj
规则的,cck
大体,ccl
下半,ccm
可见区域,ccn
提示,cco
弧高,ccp
一地,ccq
图样,ccr
静脉炎,ccs
动脉血,cct
管,ccu
淋巴瘤,ccv
内科,ccw
小弧,ccx
小孩,ccy
配合,ccz
欠佳,cda
边缘模糊,cdb
也,cdc
一团,cdd
斑及,cde
对应,cdf
伴灶性,cdg
水平线,cdh
动静,cdi
侧静脉,cdj
模糊不清,cdk
大丛,cdl
内及,cdm
增殖性视网膜病,cdn
逐渐,cdo
区于,cdp
尚未,cdq
鼻上点,cdr
B超,cds
11,cdt
秒,cdu
节段,cdv
内局,cdw
前点,cdx
似有,cdy
囊肿,cdz
外侧缘,cea
D0.7,ceb
退行,cec
颞下局,ced
1P,cee
Y,cef
字形,ceg
附件,ceh
湖状,cei
集合,cej
血管节,cek
僵硬,cel
ERG,cem
打,cen
了,ceo
延至,cep
狭窄,ceq
卵圆形,cer
现状,ces
2s,cet
及微,ceu
斑片样,cev
应,cew
数小,cex
不排除,cey
阶段性,cez
左,cfa
见团,cfb
弥漫性萎缩,cfc
放射性,cfd
损坏,cfe
我,cff
塞,cfg
上半部,cfh
随诊,cfi
变直,cfj
弓蛔虫病,cfk
火焰,cfl
血管丛,cfm
旁漆,cfn
上次,cfo
比较,cfp
下部,cfq
无伴,cfr
尤重,cfs
脉络膜缺损,cft
弓,cfu
旁局,cfv
眼底检查,cfw
团簇,cfx
壁染伴,cfy
缺失,cfz
中央区,cga
类型,cgb
腊肠,cgc
壁,cgd
DMENPDROs,cge
尤其,cgf
区未见,cgg
PIC,cgh
弧性,cgi
眼球下转,cgj
变行,cgk
该处,cgl
疤痕,cgm
沟通,cgn
显弱,cgo
旁约,cgp
扩航,cgq
明确,cgr
部小段,cgs
此外,cgt
轻度的,cgu
不等,cgv
关注,cgw
较多斑,cgx
RPER,cgy
周较,cgz
下发,cha
那个,chb
内侧,chc
弥漫性的,chd
内类,che
半为,chf
多的,chg
缘处,chh
血案,chi
密集的,chj
处斑状,chk
减少,chl
最为,chm
显示,chn
视网膜内层,cho
变薄,chp
层,chq
低中,chr
反射信号,chs
全身性,cht
成串的,chu
短暂性,chv
靠近,chw
走出,chx
5,chy
外较,chz
可见水平,cia
分界线,cib
发散,cic
多团,cid
粟粒样,cie
成人,cif
虫,cig
噬,cih
ARN,cii
期中,cij
毛细管扩张,cik
囊状,cil
散,cim
在线,cin
瘢痕期,cio
感染,cip
免疫,ciq
发明,cir
暗条纹,cis
部较,cit
枪型,ciu
总干样,civ
3.5,ciw
多条,cix
状漆样,ciy
少量的,ciz
周多,cja
横,cjb
全程无,cjc
机化,cjd
连续,cje
三角形排列,cjf
细小,cjg
层间水,cjh
肿,cji
渗出物,cjj
下局,cjk
排空,cjl
中仅,cjm
中心局,cjn
炎后,cjo
脉络膜脱离,cjp
或小簇,cjq
视野,cjr
多焦,cjs
从盘,cjt
沿处,cju
象限的,cjv
积液,cjw
支及,cjx
此,cjy
捏,cjz
余窥不清,cka
中未见,ckb
黑斑,ckc
脉络膜肿瘤,ckd
转移,cke
Ca,ckf
区渐,ckg
中部,ckh
大面积,cki
灶微,ckj
伴小簇,ckk
大量的,ckl
条纹,ckm
伴斑状,ckn
毛血,cko
MEWDS,ckp
三点,ckq
ARB,ckr
伴成,cks
发条,ckt
油水界面,cku
性透见,ckv
类环,ckw
粗大的,ckx
交感性眼炎,cky
期间中,ckz
伴行静脉,cla
血常规检查,clb
囊袋,clc
旁见,cld
及近,cle
静脉管,clf
半身,clg
质欠,clh
方为,cli
盘端,clj
橘皮,clk
短,cll
树枝状,clm
分布的,cln
外见,clo
该,clp
弧样,clq
见微,clr
稍细,cls
伴节,clt
中央部分,clu
染区,clv
向前,clw
延伸,clx
血管束,cly
色素性,clz
NPDRDME,cma
盘沿,cmb
较为,cmc
直角,cmd
深入,cme
截止,cmf
靠前,cmg
阻滞,cmh
2mm,cmi
看不到,cmj
部窥不清,cmk
飘动,cml
损管,cmm
23,cmn
暴露,cmo
部欠,cmp
延长,cmq
下及,cmr
下低,cms
以弱,cmt
较多弱,cmu
后部,cmv
恢复,cmw
顶端,cmx
图像质量,cmy
屈光不正,cmz
FF,cna
周期,cnb
血管的,cnc
连,cnd
分别,cne
一处,cnf
经脉,cng
多片,cnh
家族性,cni
渗出性视网膜病,cnj
盘处,cnk
尤为,cnl
白内障,cnm
微动,cnn
以鼻下,cno
疣的,cnp
斑斑,cnq
缺如,cnr
识破,cns
毛细血管扩张病,cnt
撕裂,cnu
非典型,cnv
骨瘤,cnw
继发,cnx
既往,cny
外侧段,cnz
象限点,coa
典型成分,cob
尤以,coc
分之,cod
格栅,coe
晚呈点,cof
血管层,cog
细细,coh
粗短,coi
比例,coj
期即,cok
4.5,col
两端,com
网格,con
状漆,coo
上岗,cop
四个,coq
手术,cor
条索样,cos
炎症性,cot
散不开,cou
IOL,cov
见瘤样,cow
上缘纤维,cox
1.4,coy
形高,coz
明细,cpa
呈片,cpb
导致,cpc
性的,cpd
弱高,cpe
暗带,cpf
临床诊断,cpg
稳定期,cph
上见,cpi
舟状,cpj
新发,cpk
团簇状,cpl
特发性,cpm
疑似,cpn
蚯蚓,cpo
被,cpp
伴其旁,cpq
后缘,cpr
小类,cps
圆性,cpt
点及,cpu
点高,cpv
颗粒,cpw
有着,cpx
中州,cpy
灶舟,cpz
进,cqa
四处,cqb
经过,cqc
直行,cqd
弧强,cqe
沿原,cqf
窥,cqg
不见,cqh
获取,cqi
圆弧形,cqj
typeI,cqk
网上,cql
缘为,cqm
纤维组织,cqn
旁未,cqo
几处,cqp
神经,cqq
眼科,cqr
多道,cqs
平行的,cqt
呈环,cqu
带状分布,cqv
动脉的,cqw
行至,cqx
楔形,cqy
周条,cqz
0.5,cra
甚清,crb
泡状隆起,crc
互相,crd
X,cre
连锁,crf
遗传性,crg
结构显示,crh
ICg,cri
部环,crj
中渐,crk
物,crl
视网膜缺血,crm
形的,crn
视网膜血管瘤病,cro
三面,crp
镜检查,crq
小坑,crr
不合作,crs
铺路石,crt
较多微,cru
匍行性,crv
脉络膜视网膜炎,crw
多簇,crx
部点,cry
全部,crz
一瘤样,csa
旁瘤样,csb
侧端,csc
有局,csd
有晕状,cse
形斑,csf
球形,csg
绒球,csh
肾形,csi
切迹,csj
d,csk
锥,csl
暗区,csm
壁渐,csn
多片状,cso
更加,csp
强度,csq
偏鼻下,csr
内较,css
感染性,cst
leukemia,csu
部仅,csv
管较,csw
I,csx
ROP,csy
7,csz
原,cta
处渐,ctb
邻近,ctc
验光,ctd
一局,cte
发现,ctf
小条,ctg
似为,cth
Leber,cti
荧灶,ctj
浆,ctk
向上,ctl
OCTA,ctm
局灶点,ctn
规整,cto
黄斑病,ctp
上元,ctq
花边,ctr
外部,cts
再,ctt
下极,ctu
之间,ctv
伴睫状,ctw
循环,ctx
良性,cty
若,ctz
浓厚的,cua
积,cub
半球形,cuc
血肿,cud
网脱,cue
大肖,cuf
环形纤维,cug
灶见,cuh
屈膝,cui
眼压,cuj
斑伴,cuk
那,cul
6PDRPE,cum
下距,cun
达,cuo
花环,cup
前云,cuq
VH,cur
末期,cus
对,cut
葡萄,cuu
段样,cuv
呈团,cuw
外侧,cux
辨认,cuy
判读,cuz
垂直,cva
螺旋,cvb
